NAME	SMILE Format
Desferrioxamin-B; Proferrioxamine-B	O=C(CCC(NCCCCCN(O)C(CCC(NCCCCCN(O)C(C)=O)=O)=O)=O)N(CCCCCN)O
Aeruginosamide	CC(C)=CCN(CC=C(C)C)C(C(C)CC)C(NC(C(C)C)C(N1CCCC1C2=NC(C(OC)=O)=CS2)=O)=O
Chloramphenicol	[O-][N+](C1=CC=C(C(C(NC(C(Cl)Cl)=O)COC(CCCCCCCCCCCCCCC)=O)O)C=C1)=O
Astin J	O=C(NC(C(O)C)C(NC(C(NC(C1=CC=CC=C1)CC(NC(C(O)C)C(OC)=O)=O)=O)CO)=O)C2=CC=CN2
Detoxin E<p2>1<p0>	CC(C(N)C(N1C(C(CC1)OC(C)=O)C(OC(C(NC(C(CC)C)=O)CC2=CC=CC=C2)=O)CC(O)=O)=O)CC
Avellanin A	CC(C(NC(C(NC1=C2C=CC=C1)=O)C(CC)C)=O)NC(C(N(C)C(C3N(CCC3)C2=O)=O)CC4=CC=CC=C4)=O
Mauritine A	O=C1N/C=C\C2=CC=C(C=C2)OC3CCN(C(C(C(C)C)NC(C(C)NC)=O)=O)C3C(NC1CC4=CC=CC=C4)=O
Stacopin P1	CC(C)C(N)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(C=O)CC1=CC=C(O)C=C1)=O)=O)=O)=O
Carolisterol A	OC1C2CC(O)CCC2(C)C(CCC3(C4C(C)CCC(NC(CO)CS(=O)(O)=O)=O)C)C(C3C(C4O)O)C1
2-Amino-4-octadecene-1,3-diol	OC(C(CO)NC(CCCCCCC/C=C/C/C=C/CCCCC)=O)/C=C/CCCCCCCCCCCCC
5-Dehydroxymethyl-5-bromomildiomycin	O=C1N=C(N)C(Br)=CN1[C@@H]2O[C@@H]([C@@H](NC(C(CO)N)=O)C=C2)C(CC(O)CNC(N)=N)(O)C(O)=O
Saframycin Y<p2>3<p0>	O=C(C(OC)=C1C)C(C(N2C)C(N3C4CNC(C(C)N)=O)CC(C(C(C)=C5OC)=O)=C4C5=O)=C(CC2C3C#N)C1=O
Destruxins	O=C(C(CC=C)OC(CCNC(C(C)N(C)C(C(C(C)C)NC(C(NC1=O)C(C)CC)=O)=O)=O)=O)N2C1CCC2
Beauverolide F	O=C(CC(OC(C(NC1=O)C(C)CC)=O)C(CCCC)C)NC(CC2=CC=CC=C2)C(NC1CC3=CC=CC=C3)=O
Beauverolide F	O=C(CC(OC(C(NC1=O)C(C)CC)=O)C(CCCC)C)NC(CC2=CC=CC=C2)C(NC1CC3=CC=CC=C3)=O
Geodiamolide G	O=C(C(C)NC(C(C)C1)=O)N(C)C(CC2=CC(Cl)=C(O)C=C2)C(NC(C)C(OC(C)CC(C)C(C1=C)=O)=O)=O
Aerobactin	O=C(C)N(O)CCCCC(C(O)=O)NC(CC(C(O)=O)(O)CC(NC(C(O)=O)CCCCN(O)C(C)=O)=O)=O
25-Dihydrosaframycin A; Saframycin AR1; Saframycin AH2	N#CC1N(C(C(C(C(OC)=C(C)C2=O)=O)=C2C3)CNC(C(C)O)=O)C3C4N(C)C1CC(C5=O)=C4C(C(OC)=C5C)=O
Pseudotheonamide D	NC(C(NC(CC1=CC=C(O)C=C1)/C=C/C(NCC(NC=O)C(N2C(C(N)=O)CCC2)=O)=O)=O)CC3=CC=CC=C3
Naseseazine B	O=C(N1)C2N(CCC2)C(C1CC3=CNC4=C3C=CC(C56CC(N7C5NC8=C6C=CC=C8)C(N9C(CCC9)C7=O)=O)=C4)=O
Bistratamide J	OC(C(NC(C(C(C)C)NC1=O)=O)C(NC(C(C)C)C2=NC(C(NC(C(C)C)C3=NC1=CS3)=O)=CS2)=O)C
Coelichelin	ON(CCCC(N)C(NC(C(O)C)C(N(O)CCCC(C(O)=O)NC(C(N)CCCN(O)C=O)=O)=O)=O)C=O
Rodaplutin	NC(C(CO)=CN1C2C=CC(NC(CC(NC(C(N)CC(C)C)=O)CCN(C(N)=N)C)=O)C(C(O)=O)O2)=NC1=O
Destruxins	O=C(C(CC(C)C)OC(CCNC(C(C)N(C)C(C(C(C)C)NC(C(C(C)C)N1)=O)=O)=O)=O)N(CCC2)C2C1=O
Nephilatoxin 565	OC1=CC(O)=CC=C1CC(NC(CC(N)=O)C(NCCCCCNC(CCNCCCCNCCCN)=O)=O)=O
Antillatoxin B	CN(C(C(C)NC(CC1=C)=O)=O)C(CCC2=CC=CC=C2)C(NCC(OC(/C(C)=C/C(C)=C/C(C)(C)C)C1C)=O)=O
Geodiamolide L	O=C(NC(CO)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)C)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O
Geodiamolide O	O=C(NC(C)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)CO)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O
Hordatine B	O=C(C1C2=CC(/C=C\C(NCCCCNC(N)=N)=O)=CC(O)=C2OC1C3=CC=C(O)C=C3)NCCCCNC(N)=N
Citrusin V	O=C(NC(CO)C(NCC(NC(CC(C)C)C1=O)=O)=O)C2N(C(C(NC(C(C(C)C)N1)=O)CC(C)C)=O)CCC2
Pseudomonic acid-C amide	O=C(NCCC1)C1NC(CCCCCCCOC(/C=C(C)/C[C@H]2[C@H](O)[C@H](O)[C@@H](C/C=C/[C@@H](C)[C@H](C)O)CO2)=O)=O
Sanjoinine G<p2>1<p0>	O=C(NCC(OC)C1=CC=C(OC2C(C)C)C=C1)C(NC(C2NC(C(N(C)C)CC3=CC=CC=C3)=O)=O)CC(C)C
Virenamide C	O=C(C(CC1=CC=CC=C1)NC(C)(C)C=C)NC(C(NC(CC2=CC=CC=C2)C3=NC=CS3)=O)CC4=CC=CC=C4
Tryptamine	O=C(CCCCCCCCCCCCCCCCCCCCCCCCCCC)NCCC1=CNC2=C1C=CC=C2
3,5-Diiodothyronine	OC1=CC=C(OC(C(I)=CC(CC(C(O)=O)NC(C)=O)=C2)=C2I)C=C1
<h1>N<h0>-Acetylneuraminic acid	CC(NC1C(C(C(OC(C)=O)COC(C)=O)OC(C)=O)OC(C(O)=O)(CC1OC(C)=O)OCC2=CC=CC=C2)=O
Antibiotic A 500359A	OC1=NC(N(C2OC(C(C(N)=O)OC3CC(O)C=C(C(NC4CCCC(C)NC4=O)=O)O3)C(OC)C2O)C=C1)=O
NK-1013-1; Di-N-acetylkanamycin-B	N[C@H]([C@H]1O)[C@H](O[C@H](CN)[C@H]1O)O[C@H]([C@@H](NC(C)=O)C[C@H]2N)[C@H](O)[C@H]2O[C@@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](O)[C@@H](CO)O3
Isariin-III; Factor-III; Isariin C	O=C(C(C(C)C)NC1=O)NC(CC(C)C)C(NC(C)C(NC(C)C(OC(CCCCCC)CC(NC1)=O)=O)=O)=O
Isariins	CC(C)CC(NC(C(C(C)C)NC(CN1)=O)=O)C(NC(C)C(NC(C(C)C)C(OC(CCCC)CC1=O)=O)=O)=O
Jamaicamide A	CC(N1C(/C=C(OC)\CCNC(CC/C=C/C(C)CC/C(CCCC#CBr)=C\Cl)=O)=O)C=CC1=O
B-4317	O=C(C1NC(C2=CC=CC=C2O)=O)N(OC1C)CCCC(NC(C3N=C(C4=CC=CC=C4O)OC3C)=O)C(OC)=O
Saframycin Mx 1	COC(C(C(C(N1C)C2CC(C(C(C)=C(C3=O)OC)=O)=C3C4CNC(C(N)C)=O)=C(C(C1CN24)OC)C5=O)=O)=C5C
Raocyclamide B	CC1C2=NC(C(NC(C(CC)C)C3=NC(C(NC(CC4=CC=CC=C4)C(NC(CO)C(N1)=O)=O)=O)=CS3)=O)=CO2
Jubanine B	COC1=C(/C=C/NC(C(N2)CC3=CC=CC=C3)=O)C=C(OC(CCN4C(C(NC)CC5=CC=CC=C5)=O)C4C2=O)C=C1
Bistratamide A	O=C(NC(C1=NC(C(NC(C2=NC3=CS2)CC4=CC=CC=C4)=O)CS1)C)C(C5C)N=C(O5)C(NC3=O)C(C)C
PF-1070-A	O=C([C@H](C(C)CC)NC1=O)N(CCCC2)[C@@H]2C(NC(C(N[C@@H]1CC3=CC=CC=C3)=O)CCCCCC(C4OC4)=O)=O
WF 3161; FR 900261	O=C1N(CCCC2)C2C(NC(CCCCCC(C3OC3)=O)C(NC(CC4=CC=CC=C4)C(NC1CC(C)C)=O)=O)=O
Antibiotic PF 1070A	CCC(C(NC(C(NC1=O)CC2=CC=CC=C2)=O)C(N3C(C(NC1CCCCCC(C4OC4)=O)=O)CCCC3)=O)C
Antibiotic WF 3161	O=C(C1CCCCN1C(C(NC2=O)CC(C)C)=O)NC(CCCCCC(C3CO3)=O)C(NC2CC4=CC=CC=C4)=O
Aralionine A	CN(C)C(C(NC(C1C2=CC=CC=C2)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O)=O)C(C)CC
Ceanothine E	CC(C)CC(NC(C1NC(C(N(C)C)CC2=CC=CC=C2)=O)=O)C(N/C=C\C3=CC=C(OC1C4=CC=CC=C4)C=C3)=O
Condaline A	CC(CC)C(NC(C(NC(C(CC1=CC=CC=C1)N(C)C)=O)C(C2=CC=CC=C2)O3)=O)C(N/C=C\C4=CC=C3C=C4)=O
Discarine D	CC(C)CC(C(NC(C1C2=CC=CC=C2)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O)=O)N(C)C
Hirsutide	O=C(NC(C(C)C)C1=O)C(N(C)C(C(CC2=CC=CC=C2)NC(C(CC3=CC=CC=C3)N1C)=O)=O)CC4=CC=CC=C4
Scutianine D	CC(C)C1C(NC(C(CC2=CC=CC=C2)N(C)C)=O)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O
Bengamide Z	CC(C)/C=C/C(OC(CCCCCCCCCCCCC)=O)C(O)C(O)C(OC)C(NC1C(NCCCC1)=O)=O
Malyngamide Q	COC1=CC(N(C(/C=C(C/C(CNC(CC/C=C/CC(CCCCCCC)OC)=O)=C/Cl)/OC)=O)C1CO)=O
Antibiotic A 500359A	OC1=NC(N(C2OC(C(C(N)=O)OC3C(O)C(O)C=C(C(NC4CCCC(C)NC4=O)=O)O3)C(O)C2O)C=C1)=O
Capuramycin	O=C1N=C(O)C=CN1C(O2)C(O)C(OC)C2C(C(N)=O)OC(O3)C(O)C(O)C=C3C(NC4CCCCNC4=O)=O
N-Acetyldaunomycin; F-7-A	O=C1C(C(O)=C(C[C@](C(C)=O)(O)C2)C([C@H]2O[C@H](O[C@@H](C)[C@H]3O)C[C@@H]3NC(C)=O)=C4O)=C4C(C5=C1C=CC=C5OC)=O
Daunomycin	OC(CC1=C(O)C(C(C2=CC=CC(OC)=C2C3=O)=O)=C3C(O)=C41)(C(C)=O)CC4OC(CC(NC(C)=O)C5O)OC5C
6'-N-Methylbutirosin-B; NMB-B	O=C([C@](O)([H])CCN)N[C@H](C1)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@@H]2O)[C@@H]([C@H]1N)O[C@@H](O[C@H](CNC)[C@H]3O)[C@H](N)[C@H]3O
Gentamicin B	NCC(OC(C1O)OC(C(C2OC(C3O)OCC(C3NC)(O)C)O)C(CC2NC(C(CN)O)=O)N)C(C1O)O
Leucylglycylprolylalanylglycylarginine	NC(CC(C)C)C(NCC(N1C(CCC1)C(NC(C)C(NCC(NC(CCCNC(N)=N)C(O)=O)=O)=O)=O)=O)=O
Hysodricanine B	O=C(N1C(C(N/C=C\2)=O)CCC1)C3N(C(C(C(CC)C)NC(C(N(C)C)C)=O)=O)CCC3OC4=CC=C(OC)C2=C4
Hysodricanine C	O=C1C2N(CCC2)C(C3C(CCN3C(C(C(C)CC)NC(C(C)N(C)C)=O)=O)OC4=CC(/C=C\N1)=C(OC)C=C4)=O
Sativanine D	COC1=C2/C=C\NC(C(C(CC)C)NC(C3N(CCC3OC(C=C1)=C2)C(C(C(C)C)N4C(C(C)N(C)C4)=O)=O)=O)=O
Mauritine K	O=C(NC1C(C)CC)C2N(C(C(NC(C(N)C(CC)C)=O)C(C)CC)=O)CCC2OC3=CC=C(/C=C\NC1=O)C=C3
Astin	O=C(NC(CC)C(N1CC2Cl)=O)CC(C3=CC=CC=C3)NC(C(CO)NC(C(NC(C1C2Cl)=O)CC)=O)=O
Antibiotic TMC 2A	OC1=CC2=C(CN(C(C(N)CC3=CNC4=CC=CC=C34)=O)C(C(NC(CC(CO)CO)C(O)=O)=O)C2)C(O)=C1OC
Saframycin Mx 1	COC(C(C)=C1O)=C(C(C(N2C)C3CC(C(C(C)=C(C4=O)OC)=O)=C4C5CNC(C(N)C)=O)=C1C(C2CN35)OC)O
Chlamydocin	CC1(C)NC(C(CCCCCC(C(OC(C)=O)C)=O)NC(C(CCC2)N2C(C(CC3=CC=CC=C3)NC1=O)=O)=O)=O
Bistratamide A	O=C(NC(C1=NC(C(NC(C2=NC3CS2)CC4=CC=CC=C4)=O)CS1)C)C(C5C)N=C(O5)C(NC3=O)C(C)C
Bengamide Z	CC(C)/C=C/C(O)C(O)C(O)C(OC)C(NC1C(NCC(OC(CCCCCCCCCCCC)=O)CC1)=O)=O
2-Hydroxybutirosin	O=C([C@](O)([H])CCN)N[C@H]([C@H]1O)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@H]2O)[C@H](O[C@@H](O[C@H](CN)[C@H]3O)[C@H](N)[C@H]3O)[C@H]1N
Ribostamycin	OC1C(OC(CO)C1O)OC2C(C(N)C(O)C(NC(C(O)CCN)=O)C2O)OC3C(N)C(O)C(O)C(CN)O3
JBIR 16	CN1CCCC(NC(CNC(C(NC(C2=C(O)C(O)=CC=C2)=O)CCCNC(C3=C(O)C(O)=CC=C3)=O)=O)=O)C1=O
Glomecidin	OC1CNN(C(C(N2)CC3=CNC=N3)=O)C(C(NC(C(NC(C(C)CC)C2=O)=O)CC4=CC=C(OC)C=C4)=O)C1O
Fellutamide A	O=CC(NC(C(NC(C(NC(CC(CCCCCCCCC)O)=O)CC(N)=O)=O)C(O)CC(N)=O)=O)CC(C)C
Cyclochlorotine; Chlorine-containing peptide; Cl-peptide	O=C(NC(CC)C(NC(C(NC(C1=CC=CC=C1)C2)=O)CO)=O)C(C3Cl)N(CC3Cl)C(C(CO)NC2=O)=O
