NAME	Molecular Weight	SMILE Format	SOURCE	ACTIVITY
Integerressine	554.691	O=C1N/C=C\C2=CC=C(C=C2)OC(C3=CC=CC=C3)C(C(NC1CC4=CC=CC=C4)=O)NC(C(N(C)C)C(C)C)=O		
Pantethine	554.718	OCC(C)(C(C(NCCC(NCCSSCCNC(CCNC(C(C(C)(CO)C)O)=O)=O)=O)=O)O)C		
Epoxomicin	554.729	CCC(C(N(C(C)=O)C)C(NC(C(NC(C(NC(C(C1(CO1)C)=O)CC(C)C)=O)C(O)C)=O)C(CC)C)=O)C		
Capuramycin	555.497	O=C1N=C(O)C=CN1C(O2)C(O)C(O)C2C(C(N)=O)OC(O3)C(O)C(O)C=C3C(NC4CCCCNC4=O)=O		
Antibiotic UCH 15A	555.556	O=C(NC1=CNC(C(NC(C#N)CC(NC(C=O)C/C=C/CN)=O)=O)=C1)C2=CC(NC(CNC(NO)=N)=O)=CN2		
Pyrronamycin A	555.556	N/C(NCC(NC1=CNC(C(NC2=CNC(C(NC(C#N)CC(NC(C/C=C/CN)C=O)=O)=O)=C2)=O)=C1)=O)=N\O		
Butirosin A; Ambutyrosin A; C1-642; BU-1709-A1	555.582	O=C([C@@H](O)CCN)N[C@H](C1)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@H]2O)[C@@H]([C@H]1N)O[C@@H](O[C@H](CN)[C@H]3O)[C@H](N)[C@H]3O	B.circulans	(S.aureus, 1.6) (B.subt., ) (E.coli, 1.6) (K.pneum., 1.6) (P.vulg., 6.3) (Ps.aer., 4.5) (Shyg., 3)
Ribostamycin	555.582	OC(C1OC2OC(C(C2O)O)CO)C(NC(C(O)CCN)=O)CC(C1OC(C(C3O)N)OC(C3O)CN)N		
Fellutamide-B; 1656-B	555.717	O=C([C@@H](NC(C[C@@H](CCCCCCCCC)O)=O)CC(N)=O)N[C@](CCC(N)=O)([H])C(NC(CC(C)C)C=O)=O	[F] Penicillium fellutanum biourge (from marine fish apogon endekataenia bleeker); Aspergillus f1656	
Malyngamide E	555.797	O=C(C1(C)C)C(C(O)C(C1O)C)C(C(NC(CC/C=C/CC(OC)CC(C)CCCCCCC)=O)COC)O		
Butirosin 1709E2; BU-1709-E2	556.566	O=C([C@@H](O)CCN)N[C@H](C1)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@@H]2O)[C@@H]([C@H]1N)O[C@@H](O[C@H](CO)[C@H]3O)[C@H](N)[C@H]3O	B.circulans	(S.aureus, 6.3) (B.subt., ) (E.coli, 3.2) (K.pneum., .5) (Ps. (antibacteria) aer., 3) (P.vulg., 3)
Ribostamycin	556.566	OC(C1OC2OC(C(C2O)O)CO)C(NC(C(O)CCN)=O)CC(C1OC(C(C3O)N)OC(C3O)CO)N		
Guadinomine C<p2>1<p0>	556.621	N=C1NC(CC(O)C(O)CCC2C(C(NC(C)C(NC(C(C)C)C(O)=O)=O)=O)NC(C)C(N2)=O)CN1C(N)=O		
Guadinomine C<p2>1<p0>	556.621	N=C1NC(CC(O)C(O)CCC2C(C(NC(C)C(NC(C(C)C)C(O)=O)=O)=O)NC(C)C(N2)=O)CN1C(N)=O		
Banyascyclamide C	556.656	CC(O)C(NC(C(CC1=CC=CC=C1)NC2=O)=O)C(NC(C)C3=NC(C(NC(C)C4=NC2=CS4)=O)=CS3)=O		
Didmolamide B	556.656	CC(NC(C1=CSC(C(C)NC(C(NC2=O)C(O)C)=O)=N1)=O)C3=NC(C(NC2CC4=CC=CC=C4)=O)=CS3		
<h1>N<h0>-Methyltyrosyl-<h1>N<h0>-methyltyrosylleucylalanine	556.66	CNC(C(N(C)C(C(NC(C(NC(C(O)=O)C)=O)CC(C)C)=O)CC1=CC=C(C=C1)O)=O)CC2=CC=C(O)C=C2		
Antibiotic FR 235222	556.704	O=C(NC(C(N1C(CC(C)C1)C2=O)=O)CC3=CC=CC=C3)C(C)(CC)NC(C(CCCCCC(C(O)C)=O)N2)=O		
4,5-Dihydroxytryptamine	556.876	OC1=C(O)C2=C(NC=C2CCNC(CCCCCCCCCCCCCCCCCCCCCCCC)=O)C=C1		
Tunichrome Pm 1	557.512	OC1=CC(/C=C\NC(C(NC(C(CC2=CC(O)=C(O)C(O)=C2)N)=O)CC3=CC(O)=C(O)C(O)=C3)=O)=CC(O)=C1O		
LL-BM-547a; Tuberactinamine A; Deslysil-viomycin	557.525	N=C(N[C@H](O)C1)N[C@@]1([H])[C@@](C(NC[C@@H]2N)=O)([H])NC(/C(NC([C@H](CO)NC([C@H](CO)NC2=O)=O)=O)=C/NC(N)=O)=O	S.sp., Noc.sp.	(B.subt., ) (Mycob.tub., ) (Mycob.sp., 25) (K.pneum., 100) (g- pos., ) (g-neg., ) (microbacteria)
Antibiotic LL-BM 547^a	557.525	N=C1NC(O)CC(C(C(NCC(C(NC(C(NC2CO)=O)CO)=O)N)=O)NC(/C(NC2=O)=C/NC(N)=O)=O)N1		
Phomalide	557.688	O=C(N/C(C(OC(C(OC(C(NC(C1=O)CC(C)C)=O)CC(C)C)=O)CC2=CC=CC=C2)=O)=C\C)C(N1)C(C)C		
Nummularine P	557.692	CNC(C)C(NC(C(C)C)C(N1C(C2CC1)C(NC(CC(C)C)C(N/C=C/C3=C(OC)C=CC(O2)=C3)=O)=O)=O)=O		
Sativanine C	557.692	COC1=CC=C(OC(CCN2C(C(C(C)C)NC(C(NC)C)=O)=O)C2C3=O)C=C1/C=C\NC(C(C(C)CC)N3)=O		
Sativanine H	557.692	CN(C)CC(NC(C(C)C)C(N1C(C(NC(C(N/C=C\C2=C(OC)C=CC3=C2)=O)CC(C)C)=O)C(O3)CC1)=O)=O		
Amphibine G	557.695	O=C(N1C(C(CC1)OC(C=C2)=CC=C2/C=C\NC(C3CC(C)C)=O)C(N3)=O)C(N(C)C)CC4=CNC5=C4C=CC=C5		
Hemsine A	557.695	O=C(NC1C(CC)C)C2N(C(C(CC3=CNC4=C3C=CC=C4)N(C)C)=O)CCC2OC5=CC=C(/C=C\NC1=O)C=C5		
Taumycin A	557.732	O=C1CC(NC(C(C)CC)C(NC(C(C)CC)C(OC(/C=C(C)/CC(C)C/C(C)=C/C2=CN=CO2)C1C)=O)=O)=O		
Pyridomycin	558.588	OC1=CC=CN=C1C(NC2C(C)OC(C(C(CC)(O)C)OC(C(C)C(O)C(NC2=O)CC3=CN=CC=C3)=O)=O)=O		
Ustiloxin C	558.603	CC(C(NC1C(NCC(O)=O)=O)=O)NC(C(NC)C(C(C=C2OC1(CC)C)=C(C=C2O)S(CCO)=O)O)=O		
Antibiotic FR 901375	558.709	O=C(NC1CSSCC/C=C\C(OC(C(C(O)C)NC1=O)=O)C2)C(C(C)C)NC(C(C(C)C)NC2=O)=O		
<h1>N<h0>-Alkylvaline <h1>N<h0>-butylglucosamine esters	558.757	OCC1OC(OC(C(NC(CCCCCCCCCCCCC)=O)C(C)C)=O)C(NC(CCC)=O)C(O)C1O		
Glycylalanylprolylmethionylphenylalanylvalinamide	559.668	NCC(NC(C)C(N1C(CCC1)C(NC(C)C(NC(CC2=CC=CC=C2)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O		
Americine	559.711	O=C(N1)C(NC(C(C(C)C)N(C)C)=O)C(C(C)C)OC(C=C2)=CC=C2/C=C\NC(C1CC3=CNC4=C3C=CC=C4)=O		
Discarine B	559.711	O=C(C(NC(C(C(C)CC)NC)=O)C(C(C)C)O1)NC(CC2=CNC3=C2C=CC=C3)C(N/C=C\C4=CC=C1C=C4)=O		
Ergocryptam	559.711	O=C(C1CCCN1C2=O)N(C2CC(C)C)C(C(NC(C(C=C34)CN(C)C3CC5=CNC6=CC=CC4=C65)=O)C(C)C)=O		
Periconin B	559.822	CC(O)CC(Cl)C1(Cl)C(C(NC(CC(O)=O)C(NC2C(NC(CN)CC2)=O)=O)=O)C1C(C(O)=O)Cl		
Peritoxin A	559.822	CC(O)CC(Cl)C(C1C(C(O)=O)Cl)(Cl)C1C(NC(CC(O)=O)C(NC2C(NCC(N)CC2)=O)=O)=O		
Synechobactin A	560.689	O=C(CC(C(O)=O)(O)CC(NCCCN(O)C(CCCCCCCCCCC)=O)=O)NCCCN(O)C(C)=O		
Desferrioxamin-B; Proferrioxamine-B	560.693	O=C(CCC(NCCCCCN(O)C(CCC(NCCCCCN(O)C(C)=O)=O)=O)=O)N(CCCCCN)O	Streptomyces olivaceus Tue 2718	(P. vulg., 50) (E. coli, )
Aeruginosamide	560.798	CC(C)=CCN(CC=C(C)C)C(C(C)CC)C(NC(C(C)C)C(N1CCCC1C2=NC(C(OC)=O)=CS2)=O)=O		
Chloramphenicol	561.541	[O-][N+](C1=CC=C(C(C(NC(C(Cl)Cl)=O)COC(CCCCCCCCCCCCCCC)=O)O)C=C1)=O		
Astin J	561.592	O=C(NC(C(O)C)C(NC(C(NC(C1=CC=CC=C1)CC(NC(C(O)C)C(OC)=O)=O)=O)CO)=O)C2=CC=CN2		
Detoxin E<p2>1<p0>	561.676	CC(C(N)C(N1C(C(CC1)OC(C)=O)C(OC(C(NC(C(CC)C)=O)CC2=CC=CC=C2)=O)CC(O)=O)=O)CC		
Avellanin A	561.683	CC(C(NC(C(NC1=C2C=CC=C1)=O)C(CC)C)=O)NC(C(N(C)C(C3N(CCC3)C2=O)=O)CC4=CC=CC=C4)=O		
Mauritine A	561.683	O=C1N/C=C\C2=CC=C(C=C2)OC3CCN(C(C(C(C)C)NC(C(C)NC)=O)=O)C3C(NC1CC4=CC=CC=C4)=O		
Stacopin P1	561.724	CC(C)C(N)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(C=O)CC1=CC=C(O)C=C1)=O)=O)=O)=O		
Carolisterol A	561.731	OC1C2CC(O)CCC2(C)C(CCC3(C4C(C)CCC(NC(CO)CS(=O)(O)=O)=O)C)C(C3C(C4O)O)C1		
2-Amino-4-octadecene-1,3-diol	561.936	OC(C(CO)NC(CCCCCCC/C=C/C/C=C/CCCCC)=O)/C=C/CCCCCCCCCCCCC		
5-Dehydroxymethyl-5-bromomildiomycin	563.366	O=C1N=C(N)C(Br)=CN1[C@@H]2O[C@@H]([C@@H](NC(C(CO)N)=O)C=C2)C(CC(O)CNC(N)=N)(O)C(O)=O	Streptoverticillium rimofaciens (FERM-p 2549, IFO 13592)	(g-pos., weakly) (fungi, weakly)
Saframycin Y<p2>3<p0>	563.611	O=C(C(OC)=C1C)C(C(N2C)C(N3C4CNC(C(C)N)=O)CC(C(C(C)=C5OC)=O)=C4C5=O)=C(CC2C3C#N)C1=O		
Destruxins	563.696	O=C(C(CC=C)OC(CCNC(C(C)N(C)C(C(C(C)C)NC(C(NC1=O)C(C)CC)=O)=O)=O)=O)N2C1CCC2		
Beauverolide F	563.739	O=C(CC(OC(C(NC1=O)C(C)CC)=O)C(CCCC)C)NC(CC2=CC=CC=C2)C(NC1CC3=CC=CC=C3)=O		
Beauverolide F	563.739	O=C(CC(OC(C(NC1=O)C(C)CC)=O)C(CCCC)C)NC(CC2=CC=CC=C2)C(NC1CC3=CC=CC=C3)=O		
Geodiamolide G	564.076	O=C(C(C)NC(C(C)C1)=O)N(C)C(CC2=CC(Cl)=C(O)C=C2)C(NC(C)C(OC(C)CC(C)C(C1=C)=O)=O)=O		
Aerobactin	564.545	O=C(C)N(O)CCCCC(C(O)=O)NC(CC(C(O)=O)(O)CC(NC(C(O)=O)CCCCN(O)C(C)=O)=O)=O		
25-Dihydrosaframycin A; Saframycin AR1; Saframycin AH2	564.595	N#CC1N(C(C(C(C(OC)=C(C)C2=O)=O)=C2C3)CNC(C(C)O)=O)C3C4N(C)C1CC(C5=O)=C4C(C(OC)=C5C)=O	[B] Rhodococcus amidophilus ifm 144	(g-pos., ) (g-neg., ) (tumors)
Pseudotheonamide D	564.643	NC(C(NC(CC1=CC=C(O)C=C1)/C=C/C(NCC(NC=O)C(N2C(C(N)=O)CCC2)=O)=O)=O)CC3=CC=CC=C3		
Naseseazine B	564.646	O=C(N1)C2N(CCC2)C(C1CC3=CNC4=C3C=CC(C56CC(N7C5NC8=C6C=CC=C8)C(N9C(CCC9)C7=O)=O)=C4)=O		
Bistratamide J	564.72	OC(C(NC(C(C(C)C)NC1=O)=O)C(NC(C(C)C)C2=NC(C(NC(C(C)C)C3=NC1=CS3)=O)=CS2)=O)C		
Coelichelin	565.581	ON(CCCC(N)C(NC(C(O)C)C(N(O)CCCC(C(O)=O)NC(C(N)CCCN(O)C=O)=O)=O)=O)C=O		
Rodaplutin	565.632	NC(C(CO)=CN1C2C=CC(NC(CC(NC(C(N)CC(C)C)=O)CCN(C(N)=N)C)=O)C(C(O)=O)O2)=NC1=O		
Destruxins	565.712	O=C(C(CC(C)C)OC(CCNC(C(C)N(C)C(C(C(C)C)NC(C(C(C)C)N1)=O)=O)=O)=O)N(CCC2)C2C1=O		
Nephilatoxin 565	565.716	OC1=CC(O)=CC=C1CC(NC(CC(N)=O)C(NCCCCCNC(CCNCCCCNCCCN)=O)=O)=O		
Antillatoxin B	565.755	CN(C(C(C)NC(CC1=C)=O)=O)C(CCC2=CC=CC=C2)C(NCC(OC(/C(C)=C/C(C)=C/C(C)(C)C)C1C)=O)=O		
Geodiamolide L	566.092	O=C(NC(CO)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)C)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O		
Geodiamolide O	566.092	O=C(NC(C)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)CO)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O		
Hordatine B	566.663	O=C(C1C2=CC(/C=C\C(NCCCCNC(N)=N)=O)=CC(O)=C2OC1C3=CC=C(O)C=C3)NCCCCNC(N)=N		
Citrusin V	566.7	O=C(NC(CO)C(NCC(NC(CC(C)C)C1=O)=O)=O)C2N(C(C(NC(C(C(C)C)N1)=O)CC(C)C)=O)CCC2		
Pseudomonic acid-C amide	566.736	O=C(NCCC1)C1NC(CCCCCCCOC(/C=C(C)/C[C@H]2[C@H](O)[C@H](O)[C@@H](C/C=C/[C@@H](C)[C@H](C)O)CO2)=O)=O	[B] marine Alteromonas sp., Ps.fluorescens	(S.aureus, ) (E.coli, )
Sanjoinine G<p2>1<p0>	566.743	O=C(NCC(OC)C1=CC=C(OC2C(C)C)C=C1)C(NC(C2NC(C(N(C)C)CC3=CC=CC=C3)=O)=O)CC(C)C		
Virenamide C	566.764	O=C(C(CC1=CC=CC=C1)NC(C)(C)C=C)NC(C(NC(CC2=CC=CC=C2)C3=NC=CS3)=O)CC4=CC=CC=C4		
Tryptamine	566.959	O=C(CCCCCCCCCCCCCCCCCCCCCCCCCCC)NCCC1=CNC2=C1C=CC=C2		
3,5-Diiodothyronine	567.11794	OC1=CC=C(OC(C(I)=CC(CC(C(O)=O)NC(C)=O)=C2)=C2I)C=C1		
<h1>N<h0>-Acetylneuraminic acid	567.544	CC(NC1C(C(C(OC(C)=O)COC(C)=O)OC(C)=O)OC(C(O)=O)(CC1OC(C)=O)OCC2=CC=CC=C2)=O		
Antibiotic A 500359A	567.552	OC1=NC(N(C2OC(C(C(N)=O)OC3CC(O)C=C(C(NC4CCCC(C)NC4=O)=O)O3)C(OC)C2O)C=C1)=O		
NK-1013-1; Di-N-acetylkanamycin-B	567.593	N[C@H]([C@H]1O)[C@H](O[C@H](CN)[C@H]1O)O[C@H]([C@@H](NC(C)=O)C[C@H]2N)[C@H](O)[C@H]2O[C@@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](O)[C@@H](CO)O3	S.kanamyceticus	(B. subt., 125)
Isariin-III; Factor-III; Isariin C	567.728	O=C(C(C(C)C)NC1=O)NC(CC(C)C)C(NC(C)C(NC(C)C(OC(CCCCCC)CC(NC1)=O)=O)=O)=O	[F] Isaria felina (= I. cretacea)	(insecticidal props) (S. aureus, ) (C. alb., )
Isariins	567.728	CC(C)CC(NC(C(C(C)C)NC(CN1)=O)=O)C(NC(C)C(NC(C(C)C)C(OC(CCCC)CC1=O)=O)=O)=O		
Jamaicamide A	567.949	CC(N1C(/C=C(OC)\CCNC(CC/C=C/C(C)CC/C(CCCC#CBr)=C\Cl)=O)=O)C=CC1=O		
B-4317	568.583	O=C(C1NC(C2=CC=CC=C2O)=O)N(OC1C)CCCC(NC(C3N=C(C4=CC=CC=C4O)OC3C)=O)C(OC)=O	[B] marine Alteromonas rava	(siderophore, ) (Staph.aureus, 25) (E.coli, >200)
Saframycin Mx 1	568.627	COC(C(C(C(N1C)C2CC(C(C(C)=C(C3=O)OC)=O)=C3C4CNC(C(N)C)=O)=C(C(C1CN24)OC)C5=O)=O)=C5C		
Raocyclamide B	568.649	CC1C2=NC(C(NC(C(CC)C)C3=NC(C(NC(CC4=CC=CC=C4)C(NC(CO)C(N1)=O)=O)=O)=CS3)=O)=CO2		
Jubanine B	568.674	COC1=C(/C=C/NC(C(N2)CC3=CC=CC=C3)=O)C=C(OC(CCN4C(C(NC)CC5=CC=CC=C5)=O)C4C2=O)C=C1		
Bistratamide A	568.711	O=C(NC(C1=NC(C(NC(C2=NC3=CS2)CC4=CC=CC=C4)=O)CS1)C)C(C5C)N=C(O5)C(NC3=O)C(C)C		
PF-1070-A	568.715	O=C([C@H](C(C)CC)NC1=O)N(CCCC2)[C@@H]2C(NC(C(N[C@@H]1CC3=CC=CC=C3)=O)CCCCCC(C4OC4)=O)=O	Humicola sp. PF 1070 (FERM p-11999)	(antifungal, weak) (cytotoxic, weak) (P 388 leukemia, 0.0051)
WF 3161; FR 900261	568.715	O=C1N(CCCC2)C2C(NC(CCCCCC(C3OC3)=O)C(NC(CC4=CC=CC=C4)C(NC1CC(C)C)=O)=O)=O	[F] Petriella guttulata 3161 (FERM-p 5969)	(immunomodulator, ) (tumors) (Trycophyton asteroides)
Antibiotic PF 1070A	568.715	CCC(C(NC(C(NC1=O)CC2=CC=CC=C2)=O)C(N3C(C(NC1CCCCCC(C4OC4)=O)=O)CCCC3)=O)C		
Antibiotic WF 3161	568.715	O=C(C1CCCCN1C(C(NC2=O)CC(C)C)=O)NC(CCCCCC(C3CO3)=O)C(NC2CC4=CC=CC=C4)=O		
Aralionine A	568.718	CN(C)C(C(NC(C1C2=CC=CC=C2)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O)=O)C(C)CC		
Ceanothine E	568.718	CC(C)CC(NC(C1NC(C(N(C)C)CC2=CC=CC=C2)=O)=O)C(N/C=C\C3=CC=C(OC1C4=CC=CC=C4)C=C3)=O		
Condaline A	568.718	CC(CC)C(NC(C(NC(C(CC1=CC=CC=C1)N(C)C)=O)C(C2=CC=CC=C2)O3)=O)C(N/C=C\C4=CC=C3C=C4)=O		
Discarine D	568.718	CC(C)CC(C(NC(C1C2=CC=CC=C2)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O)=O)N(C)C		
Hirsutide	568.718	O=C(NC(C(C)C)C1=O)C(N(C)C(C(CC2=CC=CC=C2)NC(C(CC3=CC=CC=C3)N1C)=O)=O)CC4=CC=CC=C4		
Scutianine D	568.718	CC(C)C1C(NC(C(CC2=CC=CC=C2)N(C)C)=O)C(NC(CC3=CC=CC=C3)C(N/C=C\C4=CC=C(O1)C=C4)=O)=O		
Bengamide Z	568.796	CC(C)/C=C/C(OC(CCCCCCCCCCCCC)=O)C(O)C(O)C(OC)C(NC1C(NCCCC1)=O)=O		
Malyngamide Q	569.136	COC1=CC(N(C(/C=C(C/C(CNC(CC/C=C/CC(CCCCCCC)OC)=O)=C/Cl)/OC)=O)C1CO)=O		
Antibiotic A 500359A	569.524	OC1=NC(N(C2OC(C(C(N)=O)OC3C(O)C(O)C=C(C(NC4CCCC(C)NC4=O)=O)O3)C(O)C2O)C=C1)=O		
Capuramycin	569.524	O=C1N=C(O)C=CN1C(O2)C(O)C(OC)C2C(C(N)=O)OC(O3)C(O)C(O)C=C3C(NC4CCCCNC4=O)=O		
N-Acetyldaunomycin; F-7-A	569.563	O=C1C(C(O)=C(C[C@](C(C)=O)(O)C2)C([C@H]2O[C@H](O[C@@H](C)[C@H]3O)C[C@@H]3NC(C)=O)=C4O)=C4C(C5=C1C=CC=C5OC)=O	S.coeruleorubidus	(S. aureus, 3.12) (B. subt.,12.5) (S. lutea, 3.12) (C. alb., 100)
Daunomycin	569.563	OC(CC1=C(O)C(C(C2=CC=CC(OC)=C2C3=O)=O)=C3C(O)=C41)(C(C)=O)CC4OC(CC(NC(C)=O)C5O)OC5C		
